Comment,Designator,Footprint,LCSC
BSS138,"Q1,Q10,Q11,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23,C112239
1k,"R1,R2,R7",R_0402_1005Metric,C11702
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm,C131025
QE2B,"J14,J15,J16,J21,J3,J4",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394
BUTTON8,"BTN0,BTN1,BTN10,BTN2,BTN3,BTN4,BTN5,BTN6,BTN7,BTN8,BTN9,J17,J18",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
100nF,"C1,C10,C11,C12,C13,C14,C15,C19,C5,C6,C9",C_0402_1005Metric,C1525
10uF,C7,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
USB Header,J19,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
LED,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U3,RP2040-QFN-56,C2040
SW_Push,SW1,SW_SPST_PTS810,C221895
27R,"R5,R6",R_0603_1608Metric,C25190
5k1,"R3,R4",R_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2827654
PS2 Header,J20,RJ45_OST_PJ012-8P8CX_Vertical,C2902702
330nF,C18,C_0402_1005Metric,C307420
78M05_TO252-3,U6,TO-252-2,C347278
SN74HCT125DR,U5,SN74HCT125DR,C352957
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U4,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
